"age","months_as_customer","policy_annual_premium","policy_deductable","injury_claim","property_claim","vehicle_claim","number_of_vehicles_involved"
60,422,1555.52,1000,15500,7750,62000,1
50,303,836.11,2000,12140,6070,54630,4
40,228,1450.98,500,1100,1100,3850,1
39,239,625.08,2000,15980,7990,63920,1
47,330,1133.27,2000,11000,5500,44000,2
35,128,1366.6,500,16040,16040,56140,3
37,147,1439.9,1000,9760,4880,39040,2
45,287,1230.69,1000,5380,5380,43040,1
29,142,1307.68,2000,4530,9060,40770,1
35,162,1124.69,2000,9880,4940,39520,1
35,140,1520.78,1000,520,260,2080,1
28,106,1609.11,2000,0,1220,4270,1
45,292,1358.91,1000,670,1340,5360,1
34,34,1295.87,500,5080,5080,40640,3
48,290,1161.03,500,5190,5190,31140,2
38,182,1441.06,2000,8150,16300,65200,1
55,362,1097.99,1000,0,0,39690,3
32,143,1464.42,1000,5660,5660,50940,1
38,183,1543.68,500,9440,4720,37760,1
40,254,1390.89,500,9720,4860,38880,1
43,249,1148.58,2000,5710,5710,45680,3
36,169,1616.26,500,14080,7040,56320,3
40,235,1398.94,500,6830,13660,47810,1
32,112,1238.92,1000,460,920,3680,1
32,16,968.46,1000,6600,13200,39600,3
31,128,1045.12,500,0,15540,54390,3
27,103,1537.33,1000,7770,15540,54390,3
54,356,912.3,500,12500,12500,43750,3
29,109,1007.28,2000,16560,16560,57960,3
20,2,1189.98,1000,4030,8060,36270,1
34,198,1576.41,1000,9500,9500,76000,1
32,107,1172.82,500,780,390,2730,1
39,252,1312.22,500,11880,5940,41580,3
43,303,671.01,1000,6690,6690,46830,1
32,101,895.14,500,8720,4360,30520,1
57,446,1373.21,2000,6280,12560,43960,3
48,330,1625.65,1000,11900,5950,41650,1
37,211,1295.63,2000,5940,5940,41580,3
33,172,1459.96,1000,7580,7580,26530,3
46,316,1219.94,500,6310,12620,44170,1
60,435,1064.49,500,5240,10480,47160,1
51,344,959.83,1000,17400,11600,46400,3
40,204,1767.02,2000,4200,8400,33600,1
47,278,1285.01,500,5850,5850,46800,1
57,434,1422.95,2000,11040,11040,44160,3
36,209,1223.39,2000,8180,8180,49080,3
43,250,1539.06,2000,10700,10700,42800,1
25,61,988.06,2000,4040,4040,24240,3
28,80,1740.57,1000,3720,3720,26040,1
38,25,1540.91,1000,480,960,2880,1
29,4,1381.88,500,840,420,2940,1
29,32,1446.98,500,10540,5270,42160,3
31,125,1220.86,500,0,960,3360,1
45,276,948.1,500,13860,6930,48510,3
30,148,1471.24,500,4060,4060,24360,3
38,222,1157.97,2000,6720,6720,47040,1
38,32,566.11,2000,440,440,1760,1
27,78,1060.88,500,550,1100,4400,1
43,238,1524.45,1000,4270,4270,34160,4
47,313,1556.17,1000,3660,7320,29280,1
50,334,1216.24,500,5000,10000,35000,1
35,190,1484.72,500,640,320,2880,1
41,194,1203.81,500,13700,20550,61650,3
47,290,1393.34,1000,6240,12480,37440,3
42,26,1484.48,1000,5730,11460,45840,1
41,254,1581.27,500,5770,11540,46160,1
38,199,1281.25,1000,8080,4040,32320,1
35,137,1667.83,500,1200,1200,4200,1
36,134,1497.41,1000,9650,9650,57900,3
30,73,803.36,500,0,11400,45600,3
45,289,1221.41,2000,300,300,2100,1
36,176,1865.83,500,4300,8600,34400,1
37,145,1434.27,2000,5010,10020,40080,1
31,164,1114.68,500,480,480,3360,1
38,186,1218.56,2000,11460,5730,51570,3
31,85,1234.69,2000,14880,7440,52080,2
33,162,964.92,500,3530,3530,28240,4
57,396,1351.72,500,480,480,1680,1
41,270,817.28,1000,4630,9260,46300,3
39,168,1389.59,1000,3780,7560,30240,3
45,274,1353.53,1000,11700,0,46800,1
43,263,1294.04,1000,13220,6610,59490,1
33,152,840.81,1000,7510,7510,67590,1
41,46,998.19,2000,13100,19650,45850,3
46,276,1090.32,2000,5710,5710,39970,1
44,234,1780.67,500,7020,7020,56160,1
30,64,1681.01,2000,490,1470,2940,1
62,456,1395.77,1000,5540,11080,49860,3
23,58,1471.44,2000,4580,9160,36640,1
61,475,1265.72,500,9900,9900,44550,1
29,96,1274.7,1000,5540,11080,38780,3
28,99,1330.39,500,4990,9980,34930,1
28,38,1122.95,500,12480,12480,49920,3
44,259,1655.79,2000,16280,16280,73260,1
43,241,935.77,1000,1300,650,5200,1
58,437,1192.04,2000,11160,11160,33480,1
34,130,990.11,500,1060,1060,3710,1
41,269,1422.21,2000,17180,17180,51540,1
29,103,914.85,500,790,1580,4740,1
43,284,1123.84,500,6720,3360,26880,3
39,189,838.02,2000,6440,6440,51520,3
43,267,1300.68,500,480,0,1440,1
22,39,1173.21,500,15660,7830,62640,1
32,140,985.97,1000,14940,7470,59760,1
41,243,1129.23,1000,10060,5030,35210,1
31,116,1194.83,500,4420,8840,30940,1
43,219,1114.29,1000,6060,6060,54540,1
26,96,1509.04,2000,7120,14240,56960,1
34,149,664.86,500,16160,16160,72720,1
43,246,1267.4,1000,5070,5070,40560,1
45,293,1119.23,1000,11380,5690,34140,3
48,339,1698.51,500,8640,8640,34560,3
33,160,1422.78,1000,5280,5280,42240,3
42,224,1212.75,500,9200,13800,32200,1
34,194,1423.34,1000,1400,1400,6300,1
51,385,976.37,1000,13520,6760,47320,3
33,100,1124.59,500,6800,6800,27200,1
50,371,1569.33,1000,13000,13000,58500,3
39,175,1359.36,500,13020,6510,52080,3
55,373,1607.36,500,6060,12120,42420,4
41,258,1042.25,500,6770,20310,54160,3
39,255,1453.95,500,2930,5860,20510,3
31,37,1969.63,500,6950,13900,55600,3
44,322,1156.19,1000,9880,4940,34580,3
38,204,1124.47,2000,16460,16460,57610,1
31,76,1493.5,500,1460,730,5840,1
40,193,1155.38,500,6390,6390,51120,1
55,405,878.19,500,4830,4830,28980,4
58,435,1145.85,2000,9220,4610,27660,3
35,54,1261.28,500,14380,7190,57520,3
35,144,1427.46,500,17580,8790,61530,3
32,92,1592.41,500,5340,5340,42720,1
36,173,1274.63,1000,9460,9460,33110,1
60,436,1362.31,500,14920,7460,59680,1
35,155,919.37,1000,8060,8060,32240,1
31,78,1377.23,1000,5810,11620,34860,3
57,440,995.55,1000,12400,12400,43400,3
43,264,1508.12,500,13500,6750,40500,3
30,66,484.67,500,11920,11920,41720,3
50,366,1561.41,1000,12780,12780,44730,3
37,188,1457.21,500,5000,5000,35000,1
39,224,1128.71,1000,12360,6180,43260,3
46,253,1358.2,500,5870,11740,46960,3
61,446,1232.79,1000,7050,14100,49350,1
37,169,936.19,1000,17370,5790,34740,3
46,255,1302.34,500,5260,10520,42080,3
39,209,1264.99,500,8400,4200,25200,1
37,210,1467.76,500,6330,6330,50640,1
33,174,1124.43,2000,8840,4420,30940,3
28,70,1319.81,1000,3520,3520,24640,4
32,89,1482.53,2000,10,20,70,1
61,458,1328.18,1000,6260,6260,43820,1
40,239,1463.95,500,6340,6340,57060,3
38,161,1133.85,2000,5040,15120,40320,3
61,446,1037.32,1000,6740,13480,60660,3
61,476,1562.8,1000,8980,4490,35920,1
29,70,1425.79,1000,11560,11560,46240,1
41,233,1615.14,2000,680,680,2380,1
33,122,1236.5,500,460,920,3680,1
48,335,1017.97,2000,3260,6520,26080,3
40,257,1306,2000,7700,3850,38500,3
27,85,1174.14,2000,10740,5370,42960,4
30,133,1231.01,1000,3160,3160,22120,3
34,119,1299.18,500,8280,8280,28980,1
34,169,1469.75,500,7740,3870,27090,1
39,225,1390.72,500,1060,530,4240,1
32,84,1694.09,500,4770,9540,42930,1
39,169,1140.15,2000,4200,8400,33600,3
32,124,1310.71,1000,5770,5770,46160,1
48,320,1730.49,2000,4680,9360,42120,3
47,297,1616.65,500,5550,5550,33300,3
56,421,1935.85,500,16860,8430,67440,1
33,136,855.14,1000,3070,6140,21490,1
24,46,1568.47,2000,11320,5660,39620,1
24,34,1550.53,2000,660,660,2640,1
30,95,1370.92,2000,3480,6960,24360,1
36,140,1363.59,500,7950,7950,63600,3
34,200,828.42,1000,5600,5600,44800,1
29,123,1209.63,500,16280,0,56980,1
46,267,1111.17,2000,900,450,3600,1
42,290,989.97,500,4800,9600,33600,1
37,45,1114.23,1000,10440,5220,36540,1
38,186,1347.31,2000,12300,12300,49200,3
34,135,1687.53,2000,15640,7820,54740,1
33,110,1183.48,1000,13800,9200,32200,1
43,259,1537.13,2000,6340,6340,44380,3
30,114,1173.25,1000,520,520,3640,1
56,404,1361.16,1000,5310,5310,42480,1
48,282,1422.56,2000,640,320,2560,1
25,57,1143.06,2000,14580,14580,43740,3
38,215,1405.71,500,7070,14140,49490,1
30,140,1354.2,500,5470,10940,43760,4
42,250,1055.6,500,13600,6800,54400,1
41,286,999.43,1000,820,410,2870,1
47,356,1155.97,2000,5590,11180,44720,1
29,65,1726.91,1000,720,1440,5040,1
34,187,1232.57,500,8200,4100,32800,3
53,386,1078.65,500,12120,6060,48480,1
41,197,1324.78,1000,15280,7640,53480,1
37,166,1518.54,500,10600,10600,37100,1
49,293,1239.06,2000,5210,10420,41680,1
32,179,1246.68,2000,5900,5900,41300,1
24,76,1622.67,1000,14940,7470,52290,3
28,105,1082.36,500,12100,6050,42350,3
26,97,1270.55,1000,7720,15440,61760,3
36,148,1236.32,1000,5550,11100,44400,1
26,77,785.82,2000,12560,6280,50240,3
46,295,1265.84,500,760,380,3420,1
28,126,1508.9,500,11300,11300,45200,4
32,132,1106.84,2000,1120,560,3920,1
55,370,1389.13,2000,900,1800,6300,1
43,257,974.84,1000,21330,7110,56880,1
24,9,1304.46,2000,540,1080,4320,1
34,185,1257.36,500,9340,4670,37360,3
43,234,1257.04,500,10320,5160,36120,1
44,253,719.52,2000,600,600,4200,1
39,233,1524.18,2000,5430,5430,38010,3
44,274,1395.58,500,860,860,3870,1
48,297,1243.68,1000,6870,0,48090,3
47,273,1189.04,1000,7960,3980,27860,3
37,147,1375.29,2000,6240,6240,43680,3
42,285,1389.13,500,5270,10540,36890,1
43,289,1387.51,1000,7620,7620,53340,3
60,427,1178.61,1000,12980,19470,58410,1
53,380,1166.62,2000,570,570,4560,1
21,13,1556.31,1000,8630,8630,77670,3
43,282,1452.27,500,4680,9360,32760,1
47,312,1212.07,1000,7040,7040,42240,3
46,266,1578.54,2000,7590,15180,60720,1
36,30,1488.26,500,5790,5790,46320,3
36,198,1096.39,1000,5490,5490,38430,3
45,290,1215.36,2000,6620,6620,52960,3
46,260,1482.57,2000,10680,10680,42720,1
43,233,954.18,1000,8500,4250,29750,3
30,130,1193.4,2000,8900,4450,35600,3
42,230,1023.11,1000,10700,10700,37450,3
40,212,1524.45,1000,8240,8240,65920,3
44,299,1653.32,1000,6780,6780,40680,1
26,91,1022.46,1000,7420,7420,59360,3
53,398,1396.43,2000,5270,5270,36890,1
43,218,1521.55,500,13640,6820,47740,1
33,152,1034.27,1000,7100,7100,49700,1
39,212,1255.35,1000,11860,5930,41510,2
44,242,1396.89,2000,6690,13380,46830,3
27,80,795.31,500,3710,7420,29680,3
43,260,982.22,500,15080,7540,52780,1
34,133,1074.07,500,420,840,2940,1
45,290,1311.3,1000,5850,5850,40950,3
49,322,1277.12,2000,7680,7680,26880,1
39,228,1388.62,500,6610,6610,46270,1
37,195,1406.52,1000,4420,4420,35360,1
39,247,1558.29,500,770,1540,5390,1
57,405,1132.47,1000,10240,10240,40960,3
37,144,1896.91,2000,5440,10880,38080,3
47,338,1143.46,500,9760,9760,39040,1
34,121,1285.42,500,6730,6730,53840,1
55,398,1305.26,2000,3340,6680,26720,1
30,9,1073.83,1000,15580,15580,54530,1
31,115,1051.67,1000,0,4270,29890,3
48,280,1387.35,1000,10220,10220,40880,1
45,254,1083.64,500,13280,13280,53120,3
30,141,1851.78,1000,6860,6860,48020,1
55,441,1270.29,500,640,640,5120,1
55,381,1459.99,500,12120,6060,42420,1
38,191,1253.44,2000,10240,5120,40960,3
34,145,1142.48,1000,9500,4750,38000,1
60,479,1188.45,1000,5390,10780,37730,2
35,215,1125.4,1000,220,440,1980,1
33,41,1294.41,500,1380,1380,6210,1
31,45,1459.5,500,1000,1000,4000,1
38,156,1367.99,500,11040,5520,38640,3
45,246,1594.37,500,660,1320,5280,1
39,178,1035.99,500,11760,11760,41160,3
43,237,911.53,500,0,11840,47360,1
34,127,1319.97,500,470,940,3290,1
33,1,1391.63,2000,6940,6940,55520,1
21,5,915.41,500,4050,4050,32400,1
28,64,1468.82,1000,5000,10000,45000,3
30,142,1412.76,500,11220,11220,44880,1
27,97,1588.26,500,8410,8410,58870,3
31,121,1140.91,1000,6430,6430,51440,3
43,225,1517.54,1000,6440,6440,51520,3
53,425,912.29,2000,16180,16180,64720,3
44,285,1144.3,2000,500,500,4500,1
38,192,1281.43,1000,3070,6140,21490,3
48,285,1101.85,2000,3720,3720,26040,1
26,98,1082.1,2000,14540,7270,43620,2
36,175,1185.44,500,3880,7760,31040,3
45,259,1175.07,2000,7980,7980,71820,1
36,140,979.26,2000,14560,14560,43680,4
37,231,920.81,500,0,7910,63280,1
38,186,922.85,500,400,400,2800,1
41,229,1107.59,2000,10440,10440,41760,1
36,180,1272.46,500,12660,6330,50640,3
33,188,1340.24,1000,13820,6910,55280,3
40,214,1648,1000,8040,4020,32160,1
38,178,1381.14,500,5200,10400,41600,3
35,55,1198.44,500,560,560,1960,1
31,90,951.27,2000,13780,6890,55120,1
30,135,1341.24,2000,5940,2970,23760,3
46,277,1177.57,2000,430,860,2580,1
38,211,1055.09,1000,8320,16640,66560,1
32,156,1479.48,500,6790,13580,54320,1
30,84,1827.38,2000,420,840,3360,1
32,136,1169.62,500,10000,10000,35000,1
48,310,1516.34,500,13200,6600,39600,4
34,123,1270.21,2000,6140,0,49120,3
44,243,809.11,500,5140,10280,35980,3
37,36,1115.81,1000,5420,10840,32520,3
31,146,1457.65,1000,5820,5820,40740,3
34,154,1041.36,1000,13520,13520,47320,4
40,204,1693.83,1000,5340,5340,42720,1
59,458,1685.69,1000,14360,14360,43080,1
31,147,1054.92,500,8530,0,59710,1
45,279,1333.97,2000,11100,11100,38850,3
47,308,1013.61,1000,860,860,3870,1
48,284,958.3,500,8520,8520,29820,3
31,108,1112.04,2000,780,780,2730,1
57,421,1206.26,2000,15700,7850,54950,3
42,266,763.67,1000,7870,7870,55090,1
56,412,1042.56,500,15120,7560,45360,3
32,31,1263.48,2000,5300,10600,47700,1
63,465,1006.99,500,4840,4840,33880,1
31,126,1328.26,1000,13520,6760,40560,1
55,407,1250.08,1000,11360,11360,45440,3
27,101,982.7,500,940,470,3760,1
37,187,1412.06,1000,5770,5770,46160,1
46,252,1066.7,2000,14920,14920,59680,3
43,229,1585.54,2000,420,840,3360,1
39,246,1416.08,1000,5020,5020,35140,1
38,190,1246.03,500,9020,4510,31570,1
32,95,1356.64,2000,15120,15120,52920,3
42,205,1387.7,2000,15660,15660,54810,1
25,41,1004.14,1000,9600,4800,33600,3
35,137,1107.07,500,600,600,2100,1
34,194,1429.96,500,11440,5720,40040,3
35,128,1074.99,1000,1380,690,5520,1
37,150,1007,1000,12320,12320,55440,1
30,104,1052.85,500,960,480,3360,1
37,163,1200.33,1000,390,780,2730,1
26,80,1343,1000,9040,9040,72320,1
29,65,1441.6,2000,6290,12580,44030,3
32,179,1433.42,1000,5420,10840,37940,1
50,372,1368.57,2000,5180,10360,36260,3
55,398,862.19,500,600,1200,4800,1
35,213,871.46,500,13480,6740,53920,1
25,79,1863.04,500,13560,6780,47460,1
44,232,1181.64,2000,5540,11080,38780,1
37,230,1060.74,1000,9820,4910,34370,1
41,234,951.56,500,15120,7560,75600,3
40,240,1533.71,500,6050,12100,48400,2
33,143,1200.09,1000,14080,7040,49280,3
42,266,1093.83,500,4440,8880,39960,3
32,89,988.93,1000,15380,15380,53830,1
37,229,1331.94,1000,9920,9920,34720,1
40,245,1361.45,1000,7470,7470,67230,1
44,50,1188.51,2000,6110,12220,42770,3
43,230,1101.83,2000,5190,10380,36330,3
39,17,840.95,1000,430,430,2580,1
36,163,1503.21,1000,5710,11420,34260,1
32,29,1722.5,1000,7690,7690,61520,1
42,232,944.03,500,15400,7700,53900,1
39,235,1453.61,2000,9280,9280,41760,1
46,295,1672.88,500,12140,6070,42490,1
21,22,1248.05,1000,5920,0,47360,3
43,286,1564.43,500,3810,3810,26670,1
44,257,1280.88,1000,0,5220,41760,1
26,94,722.66,500,3670,7340,25690,3
28,124,1235.14,1000,6020,6020,48160,3
30,141,1347.04,1000,540,1080,4860,1
38,3,1310.8,1000,17440,8720,61040,1
41,285,1436.79,1000,18080,18080,72320,1
34,130,1383.49,500,7500,7500,52500,3
62,458,1356.92,2000,5220,5220,36540,1
60,456,766.19,1000,460,920,3680,1
